IDENTIFIANT;	NOM;	QUANTITE;	PRIX D'ACHAT;	PREMIER PRIX DE VENTE;	DEUXIEME PRIX DE VENTE
12c;	carburateur en boite;	5.0;	3400;	7000;	5000
4c;	CDI JHSY;	2.0;	650;	2000;	1500
23c;	chaine complète BAJA 3M&V6;	4.0;	3800;	4500;	4500
44c;	chaine complète BAJA D&C;	2.0;	3500;	5000;	4500
8c;	chaine complète CGL 125 JHSY;	4.0;	3500;	4000;	4000
2c;	chaine complète CGL JHOR;	3.0;	3200;	4000;	4000
7c;	chaine complète FCNCO;	9.0;	3300;	4000;	4000
6c;	chaine complète GN 125 FX;	1.0;	3250;	4000;	4000
3c;	chaine complète TVS JHOR;	14.0;	3300;	4000;	4000
58c;	chaine moteur BAJA en paquet;	2.0;	1000;	2000;	1800
9c;	chaine moteur en carton BAJA;	5.0;	1000;	2000;	1500
10c;	chaine moteur TVS;	3.0;	1000;	2000;	1500
24c;	chaine simple 3M&V6 BAJA;	12.0;	2000;	2500;	2500
32c;	chaine simple DAHE;	7.0;	1550;	2000;	2000
30c;	chambre à aire 250/17 CST;	12.0;	1900;	2500;	2500
35c;	chambre à aire 275/18 CST;	8.0;	1900;	2500;	2500
60c;	chambre à aire 300/16 OREAL TUBE;	10.0;	1400;	2500;	2000
29c;	chambre à aire 300/17 CST;	12.0;	2000;	3000;	2500
27c;	chambre à aire 300/17 OREAL TUBE;	5.0;	1000;	2000;	1500
26c;	chambre à aire 300/18 CST;	5.0;	2200;	3000;	2500
28c;	chambre à aire 300/18 OREAL TUBE;	23.0;	1000;	2000;	1500
14c;	chambre à aire 350/16 CST;	11.0;	2100;	3000;	2500
34c;	chambre à aire 500/12 CST;	3.0;	2000;	3500;	3000
61c;	chapeau bougie;	20.0;	150;	500;	300
31c;	charbon de démarreur CG 150 MTR;	5.0;	800;	1500;	1300
13c;	chargeur baterrie CG 125 JHSY;	4.0;	1000;	2000;	1500
18c;	chargeur batterie CG 200 JHSY;	3.0;	1500;	2500;	2000
57c;	claçon grand YH 7615;	1.0;	1500;	2500;	2500
5c;	claçon petit 3M & V6;	10.0;	500;	1000;	1000
15c;	clé de contact CG 125 D&C;	5.0;	600;	1000;	1000
16c;	clé de contact GN 125 YESSONG;	6.0;	900;	1500;	1500
17c;	clé de contact senke YESSONG;	10.0;	1100;	2000;	1500
45c;	clignotant;	29.0;	500;	1000;	800
22c;	colle bleu;	12.0;	500;	1000;	800;
25c;	colle reservoir;	23.0;	500;	1000;	800
43c;	couvre chaine BAJA;	1.0;	3000;	4500;	4000
42c;	couvre chaine CGL SENKE;	2.0;	2200;	3500;	3500
41c;	couvre chaine GN;	4.0;	1500;	2500;	2000
36c;	croison petit;	3.0;	1500;	3000;	3000
